Time,ch1,ch1_Interpolated,ch7,ch8,rssi
06/07/2014 00:34:14.997026000,25.4443950653,,26.0499992371,49.6699981689,-85
06/07/2014 00:34:16.927356000,25.4467010498,,26.0499992371,49.6699981689,-81
06/07/2014 00:34:24.997805000,25.4517745972,,26.0400009155,49.7000007629,-71
06/07/2014 00:34:29.997202000,25.4443950653,,26.0400009155,49.7000007629,-77
06/07/2014 00:34:34.997856000,25.4480857849,,26.0499992371,49.6699981689,-77
06/07/2014 00:34:39.995722000,25.4460525513,,26.0300006866,49.6699981689,-77
06/07/2014 00:34:44.998530000,25.4561080933,,26.0300006866,49.6699981689,-79
06/07/2014 00:34:49.996085000,25.4475288391,,26.0300006866,49.7000007629,-78
06/07/2014 00:34:59.996154000,25.4473457336,,26.0200004578,49.7000007629,-82
06/07/2014 00:35:04.999557000,25.454076767,,26.0200004578,49.7000007629,-78
06/07/2014 00:35:09.998606000,25.4395999908,,26.0100002289,49.7299995422,-76
06/07/2014 00:35:19.997940000,25.4606266022,,26.0200004578,49.7299995422,-81
06/07/2014 00:35:24.995822000,25.4466075897,,26.0200004578,49.7299995422,-85
06/07/2014 00:35:29.998971000,25.4302864075,,26.0100002289,49.7299995422,-76
06/07/2014 00:35:34.999761000,25.4375667572,,26,49.7299995422,-76
06/07/2014 00:35:39.998664000,25.4454059601,,26.0100002289,49.7299995422,-77
06/07/2014 00:35:45.007061000,25.4426422119,,26,49.7599983215,-85
06/07/2014 00:36:00.000286000,25.4206008911,,25.9799995422,49.7299995422,-85
06/07/2014 00:36:04.996830000,25.439043045,,25.9799995422,49.7299995422,-82
06/07/2014 00:36:09.997991000,25.4253940582,,25.9899997711,49.7000007629,-71
06/07/2014 00:36:14.997524000,25.4161720276,,25.9799995422,49.7000007629,-55
06/07/2014 00:36:19.998198000,25.4102687836,,26,49.7900009155,-57
06/07/2014 00:36:24.996045000,25.4145126343,,25.9899997711,49.8600006104,-57
06/07/2014 00:36:29.996004000,25.4098091125,,25.9699993134,49.9199981689,-58
06/07/2014 00:36:34.996056000,25.4087944031,,25.9699993134,49.9199981689,-57
06/07/2014 00:36:39.996030000,25.4028015137,,25.9699993134,49.8899993896,-61
06/07/2014 00:36:44.997383000,25.3904438019,,25.9699993134,49.8600006104,-53
06/07/2014 00:36:49.995993000,25.3918209076,,25.9599990845,49.8899993896,-58
06/07/2014 00:36:59.995937000,25.381313324,,25.9599990845,49.9199981689,-59
06/07/2014 00:37:04.995921000,25.3914546967,,25.9500007629,49.9199981689,-57
06/07/2014 00:37:09.995853000,25.3680305481,,25.9599990845,49.9199981689,-54
06/07/2014 00:37:14.997155000,25.3801136017,,25.9599990845,49.9900016785,-54
06/07/2014 00:37:19.998749000,25.3785419464,,25.9500007629,49.9900016785,-59
06/07/2014 00:37:24.995974000,25.3793735504,,25.9500007629,49.9900016785,-54
06/07/2014 00:37:29.995805000,25.3740253448,,25.9400005341,49.9900016785,-54
06/07/2014 00:37:34.996243000,25.3739337921,,25.9500007629,50.0200004578,-54
06/07/2014 00:37:36.926972000,25.3636035919,,25.9400005341,50.0499992371,-54
06/07/2014 00:37:44.996788000,25.3189849854,,25.9400005341,50.0400009155,-54
06/07/2014 00:37:49.995793000,25.3196277618,,25.9400005341,50.0400009155,-54
06/07/2014 00:37:54.996878000,25.3150196075,,25.9300003052,50.0699996948,-55
06/07/2014 00:37:59.996760000,25.3241519928,,25.9400005341,50.0699996948,-55
06/07/2014 00:38:04.996845000,25.322675705,,25.9200000763,50.1100006104,-55
06/07/2014 00:38:09.996928000,25.3318023682,,25.9200000763,50.1100006104,-54
06/07/2014 00:38:14.996962000,25.3222122192,,25.9099998474,50.1399993896,-54
06/07/2014 00:38:19.996377000,25.327375412,,25.9099998474,50.1699981689,-55
